company_acer,company_apple,company_asus,company_dell,company_hp,company_lenovo,company_lg,company_msi,company_other (chinease/korean),company_other (european/american),company_samsung,company_toshiba,cpu_brand,cpu_cores,cpu_mark,cpu_name,cpu_name_key,cpu_thread_mark,gpu_brand,gpu_g2d_mark,gpu_g3d_mark,gpu_name,gpu_name_key,inches,memory_flash_storage,memory_hdd,memory_hybrid,memory_primary,memory_secondary,memory_ssd,opsys_android,opsys_chrome os,opsys_linux,opsys_macos,opsys_windows 10,opsys_windows 7,price_bracket,price_euros,ram_gb,screen_panel_ips,screen_resolution_l,screen_resolution_w,screen_retina_display,screen_touchscreen,typename_2 in 1 convertible,typename_gaming,typename_notebook,typename_ultrabook,weight_kg
0,1,0,0,0,0,0,0,0,0,0,0,Intel,2,1749,Intel Core i5 2.3GHz,Intel Core i5-540M @ 2.53GHz,1132,Intel,563,1429,Intel Iris Plus Graphics 640                      ,Intel Iris Pro Graphics 6200                      ,13.3,0,0,0,128.0,0.0,1,0,0,0,1,0,0,Mid Range,1339.69,8,1,1600,2560,1,0,0,0,0,1,1.37
0,1,0,0,0,0,0,0,0,0,0,0,Intel,4,6369,Intel Core i5 1.8GHz,Intel Core i7-8565U @ 1.80GHz,2250,Intel,247,1037,Intel HD Graphics 6000                            ,Intel UHD Graphics 620                            ,13.3,1,0,0,128.0,0.0,0,0,0,0,1,0,0,Mid Range,898.94,8,0,900,1440,0,0,0,0,0,1,1.34
0,0,0,0,1,0,0,0,0,0,0,0,Intel,2,3413,Intel Core i5 7200U 2.5GHz,Intel Core i5-7200U @ 2.50GHz,1780,Intel,218,922,Intel HD Graphics 620                             ,Intel HD Graphics 620                             ,15.6,0,0,0,256.0,0.0,1,0,0,0,0,0,0,Budget,575.0,8,0,1080,1920,0,0,0,0,1,0,1.86
0,1,0,0,0,0,0,0,0,0,0,0,Intel,2,1999,Intel Core i7 2.7GHz,Intel Core i7-620M @ 2.67GHz,1283,AMD,705,3113,AMD Radeon Pro 455                                ,Radeon Pro 455                                    ,15.4,0,0,0,512.0,0.0,1,0,0,0,1,0,0,High End,2537.45,16,1,1800,2880,1,0,0,0,0,1,1.83
0,1,0,0,0,0,0,0,0,0,0,0,Intel,4,7947,Intel Core i5 3.1GHz,Intel Core i7-8705G @ 3.10GHz,2288,Intel,563,1429,Intel Iris Plus Graphics 650                      ,Intel Iris Pro Graphics 6200                      ,13.3,0,0,0,256.0,0.0,1,0,0,0,1,0,0,High End,1803.6,8,1,1600,2560,1,0,0,0,0,1,1.37
1,0,0,0,0,0,0,0,0,0,0,0,AMD,2,1515,AMD A9-Series 9420 3GHz,AMD A9-9420,1318,AMD,810,9669,AMD Radeon R5                                     ,Radeon RX 590                                     ,15.6,0,1,0,500.0,0.0,0,0,0,0,0,1,0,Budget,400.0,4,0,768,1366,0,0,0,0,1,0,2.1
0,1,0,0,0,0,0,0,0,0,0,0,Intel,6,10089,Intel Core i7 2.2GHz,Intel Core i7-8750H @ 2.20GHz,2332,Intel,563,1429,Intel Iris Pro Graphics                           ,Intel Iris Pro Graphics 6200                      ,15.4,1,0,0,256.0,0.0,0,0,0,0,1,0,0,High End,2139.97,16,1,1800,2880,1,0,0,0,0,1,2.04
0,1,0,0,0,0,0,0,0,0,0,0,Intel,4,6369,Intel Core i5 1.8GHz,Intel Core i7-8565U @ 1.80GHz,2250,Intel,247,1037,Intel HD Graphics 6000                            ,Intel UHD Graphics 620                            ,13.3,1,0,0,256.0,0.0,0,0,0,0,1,0,0,Mid Range,1158.7,8,0,900,1440,0,0,0,0,0,1,1.34
0,0,1,0,0,0,0,0,0,0,0,0,Intel,4,5950,Intel Core i7 8550U 1.8GHz,Intel Core i7-8550U @ 1.80GHz,2071,Nvidia,218,2314,Nvidia GeForce MX150                              ,GeForce MX150                                     ,14.0,0,0,0,512.0,0.0,1,0,0,0,0,1,0,Mid Range,1495.0,16,0,1080,1920,0,0,0,0,0,1,1.3
1,0,0,0,0,0,0,0,0,0,0,0,Intel,4,5940,Intel Core i5 8250U 1.6GHz,Intel Core i5-8250U @ 1.60GHz,1932,Intel,247,1037,Intel UHD Graphics 620                            ,Intel UHD Graphics 620                            ,14.0,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Mid Range,770.0,8,1,1080,1920,0,0,0,0,0,1,1.6
